icao,airport
03N,Utirik Airport
07FA,Ocean Reef Club Airport
07MT,Glasgow Industrial Airport
0WI8,Oconomowoc Airport
18AZ,Sky Ranch At Carefree Airport
1AZ0,Mobile Airport
20GA,Earl L. Small Jr. Field/Stockmar Airport
24SC,The Farm Airport
2FD7,Air Orlando Heliport
2XS8,Benson Airstrip
5A8,Aleknagik / New Airport
5NC2,Lathan Strip
66CA,Rancho San Simeon Airport
7FA1,Sugar Loaf Shores Airport
7FL4,Haller Airpark
AGAF,Afutara Aerodrome
AGAR,Ulawa Airport
AGAT,Uru Harbour Airport
AGBT,Batuna Aerodrome
AGGA,Gwaunaru'u Airport
AGGC,Choiseul Bay Airport
AGGE,Ballalae Airport
AGGF,Fera/Maringe Airport
AGGH,Honiara International Airport
AGGI,Babanakira Airport
AGGK,Ngorangora Airport
AGGL,Santa Cruz/Graciosa Bay/Luova Airport
AGGM,Munda Airport
AGGN,Nusatupe Airport
AGGO,Mono Airport
AGGR,Rennell/Tingoa Airport
AGGS,Sege Airport
AGGT,Santa Ana Airport
AGGU,Marau Airport
AGGV,Suavanao Airport
AGGY,Yandina Airport
AGKG,Kaghau Airport
AGRC,Ringi Cove Airport
AGRM,Ramata Airport
AK06,Denali Airport
AK59,King Ranch Airport
ANYN,Nauru International Airport
AYBA,Baimuru Airport
AYBD,Bodinumu Airport
AYBK,Buka Airport
AYBM,Balimo Airport
AYBU,Bulolo Airport
AYCH,Chimbu Airport
AYDU,Daru Airport
AYEF,Efogi Airport
AYGA,Goroka Airport
AYGN,Gurney Airport
AYGR,Girua Airport
AYHK,Kimbe Airport
AYKI,Kiunga Airport
AYKK,Kikori Airport
AYKM,Kerema Airport
AYKQ,Kagi Airport
AYKT,Kaintiba Airport
AYKV,Kavieng Airport
AYMD,Madang Airport
AYMH,Mount Hagen Kagamuga Airport
AYMN,Mendi Airport
AYMO,Momote Airport
AYMR,Moro Airport
AYMS,Misima Island Airport
AYNC,Nadunumu Airport
AYNZ,Nadzab Airport
AYPY,Port Moresby Jacksons International Airport
AYSE,Simberi Airport
AYSS,Sasereme Airport
AYTA,Tari Airport
AYTB,Tabubil Airport
AYTK,Tokua Airport
AYVN,Vanimo Airport
AYWD,Wapenamanda Airport
AYWK,Wewak International Airport
BGAA,Aasiaat Airport
BGAG,Aappilattoq (Qaasuitsup) Heliport
BGAM,Tasiilaq Heliport
BGAP,Alluitsup Paa Heliport
BGAQ,Aappilattoq (Kujalleq) Heliport
BGAS,Ammassivik Heliport
BGAT,Attu Heliport
BGBW,Narsarsuaq Airport
BGCH,Qasigiannguit Heliport
BGCO,Neerlerit Inaat Airport
BGET,Eqalugaarsuit Heliport
BGFD,Narsaq Kujalleq Heliport
BGFH,Paamiut Heliport
BGGH,Godthaab / Nuuk Airport
BGGN,Qeqertarsuaq Heliport
BGIA,Ikerasak Heliport
BGIK,Ikerassaarsuk Heliport
BGIL,Ilimanaq Heliport
BGIN,Innarsuit Heliport
BGIS,Isortoq Heliport
BGIT,Ikamiut Heliport
BGJH,Qaqortoq Heliport
BGJN,Ilulissat Airport
BGKA,Kangaatsiaq Heliport
BGKL,Upernavik Kujalleq Heliport
BGKM,Kuummiut Heliport
BGKQ,Kullorsuaq Heliport
BGKS,Kangersuatsiaq Heliport
BGKT,Kitsissuarsuit Heliport
BGLL,Illorsuit Heliport
BGMQ,Maniitsoq Airport
BGNK,Niaqornaarsuk Heliport
BGNN,Nanortalik Heliport
BGNQ,Nuugaatsiaq Heliport
BGNS,Narsaq Heliport
BGNT,Niaqornat Heliport
BGNU,Nuussuaq Heliport
BGQE,Qeqertaq Heliport
BGQQ,Qaanaaq Airport
BGQT,Qassimiut Heliport
BGSC,Ittoqqortoormiit Heliport
BGSF,Kangerlussuaq Airport
BGSG,Sermiligaaq Heliport
BGSI,Siorapaluk Heliport
BGSQ,Saqqaq Heliport
BGSS,Sisimiut Airport
BGST,Saattut Heliport
BGSV,Savissivik Heliport
BGTA,Tasiusaq (Qaasuitsup) Heliport
BGTL,Thule Air Base
BGTN,Tiniteqilaaq Heliport
BGTQ,Tasiusaq (Kujalleq) Heliport
BGUK,Upernavik Airport
BGUM,Uummannaq Heliport
BGUQ,Qaarsut Airport
BGUT,Ukkusissat Heliport
BIAR,Akureyri Airport
BIBA,Bakki Airport
BIBD,Bildudalur Airport
BIEG,Egilsstaðir Airport
BIGF,Grundarfjörður Airport
BIGJ,Gjögur Airport
BIGR,Grímsey Airport
BIHN,Hornafjörður Airport
BIHU,Húsavík Airport
BIIS,Ísafjörður Airport
BIKF,Keflavik International Airport
BIKL,Kirkjubæjarklaustur Airport
BIKR,Sauðárkrókur Airport
BINF,Norðfjörður Airport
BIPA,Patreksfjörður Airport
BIRK,Reykjavik Airport
BIRL,Reykjahlíð Airport
BISF,Selfoss Airport
BISI,Siglufjörður Airport
BITN,Thorshofn Airport
BIVM,Vestmannaeyjar Airport
BIVO,Vopnafjörður Airport
BKPR,Priština International Airport
CAB3,Bedwell Harbour Seaplane Base
CAC8,Nanaimo Harbour Water Airport
CAD4,Trail Airport
CAE5,Whistler/Green Lake Water Aerodrome
CAJ4,Anahim Lake Airport
CAM9,Vancouver International Seaplane Base
CAP5,Victoria Airport
CAQ3,Coal Harbour Seaplane Base
CAV3,One Hundred Mile House Airport
CAW5,Port Hardy Seaplane Base
CAX6,Ganges Seaplane Base
CBA9,Ospika Airport
