icao,country
03N,Marshall Islands
07FA,United States
07MT,United States
0WI8,United States
18AZ,United States
1AZ0,United States
20GA,United States
24SC,United States
2FD7,United States
2XS8,United States
5A8,United States
5NC2,United States
66CA,United States
7FA1,United States
7FL4,United States
AGAF,Solomon Islands
AGAR,Solomon Islands
AGAT,Solomon Islands
AGBT,Solomon Islands
AGGA,Solomon Islands
AGGC,Solomon Islands
AGGE,Solomon Islands
AGGF,Solomon Islands
AGGH,Solomon Islands
AGGI,Solomon Islands
AGGK,Solomon Islands
AGGL,Solomon Islands
AGGM,Solomon Islands
AGGN,Solomon Islands
AGGO,Solomon Islands
AGGR,Solomon Islands
AGGS,Solomon Islands
AGGT,Solomon Islands
AGGU,Solomon Islands
AGGV,Solomon Islands
AGGY,Solomon Islands
AGKG,Solomon Islands
AGRC,Solomon Islands
AGRM,Solomon Islands
AK06,United States
AK59,United States
ANYN,Nauru
AYBA,Papua New Guinea
AYBD,Papua New Guinea
AYBK,Papua New Guinea
AYBM,Papua New Guinea
AYBU,Papua New Guinea
AYCH,Papua New Guinea
AYDU,Papua New Guinea
AYEF,Papua New Guinea
AYGA,
AYGN,Papua New Guinea
AYGR,Papua New Guinea
AYHK,Papua New Guinea
AYKI,Papua New Guinea
AYKK,Papua New Guinea
AYKM,Papua New Guinea
AYKQ,Papua New Guinea
AYKT,Papua New Guinea
AYKV,Papua New Guinea
AYMD,Papua New Guinea
AYMH,Papua New Guinea
AYMN,Papua New Guinea
AYMO,Papua New Guinea
AYMR,Papua New Guinea
AYMS,Papua New Guinea
AYNC,Papua New Guinea
AYNZ,Papua New Guinea
AYPY,Papua New Guinea
AYSE,Papua New Guinea
AYSS,Papua New Guinea
AYTA,Papua New Guinea
AYTB,Papua New Guinea
AYTK,Papua New Guinea
AYVN,Papua New Guinea
AYWD,Papua New Guinea
AYWK,Papua New Guinea
BGAA,Greenland
BGAG,Greenland
BGAM,Greenland
BGAP,Greenland
BGAQ,Greenland
BGAS,Greenland
BGAT,Greenland
BGBW,Greenland
BGCH,Greenland
BGCO,Greenland
BGET,Greenland
BGFD,Greenland
BGFH,Greenland
BGGH,Greenland
BGGN,Greenland
BGIA,Greenland
BGIK,Greenland
BGIL,Greenland
BGIN,Greenland
BGIS,Greenland
BGIT,Greenland
BGJH,Greenland
BGJN,Greenland
BGKA,Greenland
BGKL,Greenland
BGKM,Greenland
BGKQ,Greenland
BGKS,Greenland
BGKT,Greenland
BGLL,Greenland
BGMQ,Greenland
BGNK,Greenland
BGNN,Greenland
BGNQ,Greenland
BGNS,Greenland
BGNT,Greenland
BGNU,Greenland
BGQE,Greenland
BGQQ,Greenland
BGQT,Greenland
BGSC,Greenland
BGSF,Greenland
BGSG,Greenland
BGSI,Greenland
BGSQ,Greenland
BGSS,Greenland
BGST,Greenland
BGSV,Greenland
BGTA,Greenland
BGTL,Greenland
BGTN,Greenland
BGTQ,Greenland
BGUK,Greenland
BGUM,Greenland
BGUQ,Greenland
BGUT,Greenland
BIAR,Iceland
BIBA,Iceland
BIBD,Iceland
BIEG,Iceland
BIGF,Iceland
BIGJ,Iceland
BIGR,Iceland
BIHN,Iceland
BIHU,Iceland
BIIS,Iceland
BIKF,Iceland
BIKL,Iceland
BIKR,Iceland
BINF,Iceland
BIPA,Iceland
BIRK,Iceland
BIRL,Iceland
BISF,Iceland
BISI,Iceland
BITN,Iceland
BIVM,Iceland
BIVO,Iceland
BKPR,Serbia
CAB3,Canada
CAC8,Canada
CAD4,Canada
CAE5,Canada
CAJ4,Canada
CAM9,Canada
CAP5,Canada
CAQ3,Canada
CAV3,Canada
CAW5,Canada
CAX6,Canada
CBA9,Canada
CBC7,Canada
CBF7,Canada
CBW4,Canada
CCA6,Canada
CCD4,Canada
CCE4,Canada
CCH4,Canada
CCK4,Canada
CCP4,Canada
CCW3,Canada
CCZ2,Canada
CCZ3,Canada
CDG2,France
CDL7,Canada
CDU9,Canada
CEB3,Canada
CEC4,Canada
CEG4,Canada
CEM3,Canada
CEW9,Canada
CEZ5,Canada
CFJ2,Canada
CJM9,Canada
CJT2,Canada
CJV7,Canada
CJX7,Canada
CKB6,Canada
CKD9,Canada
CKL3,Canada
CKM8,Canada
CKQ3,Canada
CLA4,Canada
CNC3,Canada
CND4,Canada
CNE3,Canada
CNF4,Canada
CNH2,Canada
CNJ4,Canada
CNK4,Canada
CNM5,Canada
CNT3,Canada
CNU8,Canada
CNV8,Canada
CNY3,Canada
CO00,United States
CPV7,Canada
CPV8,Canada
CSU2,Canada
CTB6,Canada
CTK6,Canada
CTT5,Canada
CTU5,Canada
CYAC,Canada
CYAG,Canada
CYAH,Canada
CYAL,Canada
CYAM,Canada
CYAQ,Canada
CYAS,Canada
CYAT,Canada
CYAU,Canada
CYAV,Canada
CYAW,Canada
CYAX,Canada
CYAY,Canada
CYAZ,Canada
CYBA,Canada
CYBB,Canada
CYBC,Canada
CYBD,Canada
CYBE,Canada
CYBF,Canada
CYBG,Canada
CYBK,Canada
CYBL,Canada
CYBQ,Canada
CYBR,Canada
CYBT,Canada
CYBU,Canada
CYBV,Canada
CYBW,Canada
CYBX,Canada
CYCA,Canada
CYCB,Canada
CYCC,Canada
CYCD,Canada
CYCE,Canada
CYCG,Canada
CYCH,Canada
CYCL,Canada
CYCN,Canada
CYCO,Canada
CYCP,Canada
CYCQ,Canada
CYCR,Canada
CYCS,Canada
CYCT,Canada
CYCW,Canada
CYCY,Canada
CYDA,Canada
CYDB,Canada
CYDC,Canada
CYDF,Canada
CYDL,Canada
CYDM,Canada
CYDN,Canada
CYDO,Canada
CYDP,Canada
CYDQ,Canada
CYEE,Canada
CYEG,Canada
CYEK,Canada
CYEL,Canada
CYEM,Canada
CYEN,Canada
CYER,Canada
CYES,Canada
CYET,Canada
CYEU,Canada
CYEV,Canada
CYEY,Canada
CYFA,Canada
CYFB,Canada
CYFC,Canada
CYFD,Canada
CYFE,Canada
CYFH,Canada
CYFJ,Canada
CYFO,Canada
CYFR,Canada
CYFS,Canada
CYFT,Canada
CYGB,Canada
CYGD,Canada
CYGE,Canada
CYGH,Canada
CYGK,Canada
CYGL,Canada
CYGM,Canada
CYGO,Canada
CYGP,Canada
CYGQ,Canada
CYGR,Canada
CYGT,Canada
CYGV,Canada
CYGW,Canada
CYGX,Canada
CYGZ,Canada
CYHA,Canada
CYHB,Canada
CYHC,Canada
CYHD,Canada
CYHE,Canada
CYHF,Canada
CYHH,Canada
CYHI,Canada
CYHK,Canada
CYHM,Canada
CYHN,Canada
CYHO,Canada
CYHR,Canada
CYHS,Canada
CYHT,Canada
CYHU,Canada
CYHY,Canada
CYHZ,Canada
CYIB,Canada
CYID,Canada
CYIF,Canada
CYIK,Canada
CYIO,Canada
CYIV,Canada
CYJF,Canada
CYJM,Canada
CYJN,Canada
CYJQ,Canada
CYJT,Canada
CYKA,Canada
CYKD,Canada
CYKF,Canada
CYKG,Canada
CYKJ,Canada
CYKL,Canada
CYKO,Canada
CYKQ,Canada
CYKX,Canada
CYKY,Canada
CYKZ,Canada
CYLA,Canada
CYLC,Canada
CYLD,Canada
CYLH,Canada
CYLJ,Canada
CYLK,Canada
CYLL,Canada
CYLR,Canada
CYLS,Canada
CYLT,Canada
CYLU,Canada
CYLW,Canada
CYMA,Canada
CYME,Canada
CYMG,Canada
CYMH,Canada
CYMJ,Canada
CYML,Canada
CYMM,Canada
CYMO,Canada
CYMT,Canada
CYMU,Canada
CYMW,Canada
CYMX,Canada
CYNA,Canada
CYNC,Canada
CYND,Canada
CYNE,Canada
CYNJ,Canada
CYNL,Canada
CYNM,Canada
CYNN,Canada
CYNR,Canada
CYOA,Canada
CYOC,Canada
CYOD,Canada
CYOH,Canada
CYOJ,Canada
CYOO,Canada
CYOP,Canada
CYOS,Canada
CYOW,Canada
CYPA,Canada
CYPC,Canada
CYPD,Canada
CYPE,Canada
CYPG,Canada
CYPH,Canada
CYPK,Canada
CYPL,Canada
CYPM,Canada
CYPN,Canada
CYPO,Canada
CYPQ,Canada
CYPR,Canada
CYPT,Canada
CYPW,Canada
CYPX,Canada
CYPY,Canada
CYQA,Canada
CYQB,Canada
CYQD,Canada
CYQF,Canada
CYQG,Canada
CYQH,Canada
CYQI,Canada
CYQK,Canada
CYQL,Canada
CYQM,Canada
CYQN,Canada
CYQQ,Canada
CYQR,Canada
CYQS,Canada
CYQT,Canada
CYQU,Canada
CYQV,Canada
CYQW,Canada
CYQX,Canada
CYQY,Canada
CYQZ,Canada
CYRA,Canada
CYRB,Canada
CYRI,Canada
CYRJ,Canada
CYRL,Canada
CYRM,Canada
CYRO,Canada
CYRP,Canada
CYRQ,Canada
CYRS,Canada
CYRT,Canada
CYRV,Canada
CYSA,Canada
CYSB,Canada
CYSC,Canada
CYSD,Canada
CYSE,Canada
CYSF,Canada
CYSG,Canada
CYSH,Canada
CYSJ,Canada
CYSK,Canada
CYSL,Canada
CYSM,Canada
CYSN,Canada
CYSP,Canada
CYSR,Canada
CYST,Canada
CYSU,Canada
CYSY,Canada
CYTA,Canada
CYTE,Canada
CYTF,Canada
CYTH,Canada
CYTL,Canada
CYTQ,Canada
CYTR,Canada
CYTS,Canada
CYTZ,Canada
CYUB,Canada
CYUL,Canada
CYUT,Canada
CYUX,Canada
CYUY,Canada
CYVB,Canada
CYVC,Canada
CYVD,Canada
CYVG,Canada
CYVK,Canada
CYVM,Canada
CYVO,Canada
CYVP,Canada
CYVQ,Canada
CYVR,Canada
CYVT,Canada
CYVV,Canada
CYVZ,Canada
CYWA,Canada
CYWG,Canada
CYWH,Canada
CYWJ,Canada
CYWK,Canada
CYWL,Canada
CYWP,Canada
CYWY,Canada
CYXC,Canada
CYXD,Canada
CYXE,Canada
CYXH,Canada
CYXJ,Canada
CYXK,Canada
CYXL,Canada
CYXN,Canada
CYXP,Canada
CYXQ,Canada
CYXR,Canada
CYXS,Canada
CYXT,Canada
CYXU,Canada
CYXX,Canada
CYXY,Canada
CYXZ,Canada
CYYB,Canada
CYYC,Canada
CYYD,Canada
CYYE,Canada
CYYF,Canada
CYYG,Canada
CYYH,Canada
CYYJ,Canada
CYYL,Canada
CYYN,Canada
CYYQ,Canada
CYYR,Canada
CYYT,Canada
CYYU,Canada
CYYW,Canada
CYYY,Canada
CYYZ,Canada
CYZD,Canada
CYZE,Canada
CYZF,Canada
CYZG,Canada
CYZH,Canada
CYZP,Canada
CYZR,Canada
CYZS,Canada
CYZT,Canada
CYZU,Canada
CYZV,Canada
CYZW,Canada
CYZX,Canada
CYZY,Canada
CZAC,Canada
CZAM,Canada
CZBA,Canada
CZBB,Canada
CZBD,Canada
CZBF,Canada
CZBM,Canada
CZEE,Canada
CZEM,Canada
CZFA,Canada
CZFD,Canada
CZFG,Canada
CZFM,Canada
CZFN,Canada
CZGF,Canada
CZGI,Canada
CZGR,Canada
CZJG,Canada
CZJN,Canada
CZKE,Canada
CZLQ,Canada
CZMD,Canada
CZML,Canada
CZMN,Canada
CZMT,Canada
CZNG,Canada
CZPB,Canada
CZPC,Canada
CZRJ,Canada
CZSJ,Canada
CZSN,Canada
CZST,Canada
CZSW,Canada
CZTM,Canada
CZUC,Canada
CZUM,Canada
CZWH,Canada
CZWL,Canada
DAAB,Algeria
DAAD,Algeria
DAAE,Algeria
DAAG,Algeria
DAAJ,Algeria
DAAK,Algeria
DAAN,Algeria
DAAP,Algeria
DAAQ,Algeria
DAAS,Algeria
DAAT,Algeria
DAAV,Algeria
DAAY,Algeria
DAAZ,Algeria
DABB,Algeria
DABC,Algeria
DABS,Algeria
DABT,Algeria
DAFH,Algeria
DAFI,Algeria
DAOB,Algeria
DAOE,Algeria
DAOF,Algeria
DAOI,Algeria
DAOL,Algeria
DAON,Algeria
DAOO,Algeria
DAOR,Algeria
DAOS,Algeria
DAOV,Algeria
DAOY,Algeria
DATM,Algeria
DAUA,Algeria
DAUB,Algeria
DAUE,Algeria
DAUG,Algeria
DAUH,Algeria
DAUI,Algeria
DAUK,Algeria
DAUL,Algeria
DAUO,Algeria
DAUT,Algeria
DAUU,Algeria
DAUZ,Algeria
DBBB,Benin
DBBK,Benin
DBBP,Benin
DFFD,Burkina Faso
DFOO,Burkina Faso
DGAA,Ghana
DGLE,Ghana
DGLW,Ghana
DGSI,Ghana
DGSN,Ghana
DGTK,Ghana
DIAP,Cote d'Ivoire
DIBK,Cote d'Ivoire
DIDL,Cote d'Ivoire
DIKO,Cote d'Ivoire
DIMN,Cote d'Ivoire
DIOD,Cote d'Ivoire
DISP,Cote d'Ivoire
DIYO,Cote d'Ivoire
DNAA,Nigeria
DNAI,Nigeria
DNAK,Nigeria
DNAS,Nigeria
DNBC,Nigeria
DNBE,Nigeria
DNBK,Nigeria
DNCA,Nigeria
DNDS,Nigeria
DNEN,Nigeria
DNGO,Nigeria
DNGU,Nigeria
DNIB,Nigeria
DNIL,Nigeria
DNIM,Nigeria
DNJA,Nigeria
DNJO,Nigeria
DNKA,Nigeria
DNKN,Nigeria
DNMA,Nigeria
DNMK,Nigeria
DNMM,Nigeria
DNMN,Nigeria
DNPO,Nigeria
DNSO,Nigeria
DNSU,Nigeria
DNYO,Nigeria
DNZA,Nigeria
DRRM,Niger
DRRN,Niger
DRRT,Niger
DRZA,Niger
DRZD,Niger
DRZF,Niger
DRZR,Niger
DTKA,Tunisia
DTMB,Tunisia
DTNH,Tunisia
DTTA,Tunisia
DTTB,Tunisia
DTTD,Tunisia
DTTF,Tunisia
DTTG,Tunisia
DTTI,Tunisia
DTTJ,Tunisia
DTTR,Tunisia
DTTX,Tunisia
DTTZ,Tunisia
DXMG,Togo
DXNG,Togo
DXSK,Togo
DXXX,Togo
EBAW,Belgium
EBBE,Belgium
EBBL,Belgium
EBBR,Belgium
EBBX,Belgium
EBCI,Belgium
EBCV,Belgium
EBEN,Germany
EBFN,Belgium
EBFS,Belgium
EBKT,Belgium
EBKW,Belgium
EBLE,Belgium
EBLG,Belgium
EBNM,Belgium
EBOS,Belgium
EBSL,Belgium
EBSP,Belgium
EBST,Belgium
EBSU,Belgium
EBTN,Belgium
EBUL,Belgium
EBWE,Belgium
EBZH,Belgium
EBZR,Belgium
EDAB,Germany
EDAC,Germany
EDAD,Germany
EDAE,Germany
EDAH,Germany
EDAI,Germany
EDAJ,Germany
EDAK,Germany
EDAL,Germany
EDAM,Germany
EDAN,Germany
EDAQ,Germany
EDAS,Germany
EDAU,Germany
EDAV,Germany
EDAW,Germany
EDAX,Germany
EDAY,Germany
EDAZ,Germany
EDBC,Germany
EDBG,Germany
EDBH,Germany
EDBJ,Germany
EDBK,Germany
EDBM,Germany
EDBN,Germany
EDBR,Germany
EDBT,Germany
EDCA,Germany
EDCB,Germany
EDCD,Germany
EDCG,Germany
EDCK,Germany
EDCL,Germany
EDCM,Germany
EDCO,Germany
EDCP,Germany
EDCR,Germany
EDCS,Germany
EDCY,Germany
EDDB,Germany
EDDC,Germany
EDDE,Germany
EDDF,Germany
EDDG,Germany
EDDH,Germany
EDDI,Germany
EDDK,Germany
EDDL,Germany
EDDM,Germany
